LANGE MOVEMENT CALIBRE CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated 30AUG24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAL. NUMBERING: ""Lwxy.z"" → ""wx""=year development began, ""y""=sequence # in that development year, ""z""=variation # (Ex: L043.5 = 3rd movement developed in 2004 & 5th variation of base cal. L043; L901.0 development began 1990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT CALIBRE,Typical Model,Years Sold,Winding Type,Diameter (mm),Height (mm),Parts,Rubies,Diamonds,Chatons,Power Reserve (hours),Frequency,Balance Adjust,Balance Spring,Barrels,Tourbillon,Fusée & Chain,Acoustics,Seconds Mechanism,Column Wheel,Power Reserve Display,Hours/ Minutes,Seconds,Date,Day,Week,Month,Leap Year,Time Zone,Day/Night or 12/24H,Moonphase,Chronograph,Flyback,Split,Notes
L901.8,"Lange 1 ""Luna Mundi"" (N.)",2003-2004,Manual,30.40,5.90,398,54,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,
L901.9,Lange 1 (Little) Moonphase,2009-2010,Manual,30.40,5.90,403,54,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,
L902.0,"Tourbillon ""Pour le Mérite""",1994-1999,Manual,30.00,6.00,320 + 633 in chain,29,2,7,36,"  18,000   ",screws,Nivarox®,1,yes,yes,none,non-hacking,no,subdial,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L903.0,"Tourbograph ""Pour le Mérite""",2006-2012,Manual,30.00,8.90,465 + 633 in chain,41,2,6,36,"  21,600   ",screws,see notes,1,yes,yes,none,N/A,2,subdial,center,none,no,no,no,no,no,no,no,no,yes,no,yes,Ref. no. 712.050 has Lange in-house hairspring. Ref. no. 702.025 has Nivarox hairspring.
L911.1,Arkade no date,2006-2007,Manual,25.6 x 17.6,3.20,164,21,0,3,42,"21,600",screws,Nivarox®,1,no,no,none,non-hacking,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L911.2,Arkade,1994-2007,Manual,25.6 x 17.6,4.95,232,30,0,3,42,"21,600",screws,Nivarox®,1,no,no,none,N/A,no,no,center,none,Big Date,no,no,no,no,no,no,no,no,no,no,
L911.3,Saxonia,1994-1997,Manual,25.6 x 17.6,4.95,235,30,0,3,42,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L911.4,Arkade,1994-2009,Manual,25.6 x 17.6,4.95,235,30,0,3,42,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,same as L911.3 but longer pinions for thicker (MOP) dial
L921.2,"Langematik no date, 1815 Auto, Grand Saxonia Auto",1996-2011,Automatic,30.40,3.80,307,36,0,0,46,"  21,600   ",screws,Nivarox®,1,no,no,none,Zero Reset,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L921.4,"Langematik w/Big Date, Saxonia Auto w/Big Date",1997-2014,Automatic,30.40,5.55,378,45,0,0,46,"  21,600   ",screws,Nivarox®,1,no,no,none,Zero Reset,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
